OurESP1,OurESP2,OurESP3,x,y
100,1,1,0,0
91,11,1,0,1
81,21,0,0,2
71,31,0,0,3
61,41,0,0,4
51,51,0,0,5
41,61,0,0,6
31,71,0,0,7
21,81,0,0,8
11,91,0,0,9
1,100,0,0,10
91,1,11,1,0
86,11,11,1,1
78,21,9,1,2
69,30,7,1,3
60,40,3,1,4
50,50,0,1,5
40,60,0,1,6
30,69,0,1,7
21,78,0,1,8
11,86,0,1,9
1,91,0,1,10
81,0,21,2,0
78,9,21,2,1
72,19,19,2,2
65,28,16,2,3
56,38,12,2,4
47,47,7,2,5
38,56,1,2,6
28,65,0,2,7
19,72,0,2,8
9,78,0,2,9
0,81,0,2,10
71,0,31,3,0
69,7,30,3,1
65,16,28,3,2
58,25,25,3,3
51,34,21,3,4
43,43,15,3,5
34,51,9,3,6
25,58,2,3,7
16,65,0,3,8
7,69,0,3,9
0,71,0,3,10
61,0,41,4,0
60,3,40,4,1
56,12,38,4,2
51,21,34,4,3
44,29,29,4,4
37,37,23,4,5
29,44,16,4,6
21,51,9,4,7
12,56,1,4,8
3,60,0,4,9
0,61,0,4,10
51,0,51,5,0
50,0,50,5,1
47,7,47,5,2
43,15,43,5,3
37,23,37,5,4
30,30,30,5,5
23,37,23,5,6
15,43,15,5,7
7,47,7,5,8
0,50,0,5,9
0,51,0,5,10
41,0,61,6,0
40,0,60,6,1
38,1,56,6,2
34,9,51,6,3
29,16,44,6,4
23,23,37,6,5
16,29,29,6,6
9,34,21,6,7
1,38,12,6,8
0,40,3,6,9
0,41,0,6,10
31,0,71,7,0
30,0,69,7,1
28,0,65,7,2
25,2,58,7,3
21,9,51,7,4
15,15,43,7,5
9,21,34,7,6
2,25,25,7,7
0,28,16,7,8
0,30,7,7,9
0,31,0,7,10
21,0,81,8,0
21,0,78,8,1
19,0,72,8,2
16,0,65,8,3
12,1,56,8,4
7,7,47,8,5
1,12,38,8,6
0,16,28,8,7
0,19,19,8,8
0,21,9,8,9
0,21,0,8,10
11,0,91,9,0
11,0,86,9,1
9,0,78,9,2
7,0,69,9,3
3,0,60,9,4
0,0,50,9,5
0,3,40,9,6
0,7,30,9,7
0,9,21,9,8
0,11,11,9,9
0,11,1,9,10
1,0,100,10,0
1,0,91,10,1
0,0,81,10,2
0,0,71,10,3
0,0,61,10,4
0,0,51,10,5
0,0,41,10,6
0,0,31,10,7
0,0,21,10,8
0,1,11,10,9
0,1,1,10,10
